med_inc,avg_test_score
40624.875,4.647702032
46291.406,4.99662159
91102.961,6.222470207
103228.35,6.926766492
52999.699,4.395568392
46562.188,5.160610316
95999.164,6.096417129
48381.676,5.113845397
29771.773,5.301826743
31799.641,3.317003682
41666.332,6.590250859
52856.859,5.396416756
33124.375,4.376436397
53461.191,5.799802474
72108.57,6.494367069
65987.5,5.732520385
54734.727,5.479983633
37499.5,2.724165142
20817.145,3.577917141
58332.5,4.324366231
29858.051,3.601857593
51965.617,4.568821443
26499.701,5.420738261
28210.896,3.038772887
31022.523,4.244274545
46999.605,5.057488455
44999,3.946985323
48054.945,4.68611943
42650.984,4.62483098
33749.246,3.865160442
29847.516,4.022190517
45454.453,4.412187915
41874.625,5.200783284
51922.887,5.034752588
44106.32,4.611048183
26718.406,4.389094633
42499.5,4.058500219
45624.875,5.091308143
46029.207,4.547843879
42568.93,6.997399838
50232.535,5.153834524
48699.262,4.965275203
46405.969,3.997342895
29890.328,3.560974728
40051.012,4.259612357
49422.191,4.908635149
49165.836,4.861285405
39999,5.093830519
30099.979,3.922622391
56958.063,4.898196406
49557.914,5.883576667
34942.191,4.66882327
55713.715,5.195838092
34026.973,4.158011038
32142.43,3.332966861
45781.094,4.870456011
33689.738,5.126086208
34233.848,4.592673664
49721.277,5.048207799
29777.525,4.229714044
41199.758,5.120358843
39870.82,4.333573941
29443.553,3.153448156
34599.078,6.109726423
32707.793,4.342163581
45833.168,4.851324971
57691.539,6.008737852
37187.063,4.151646513
80514.484,6.97885396
48181.184,5.178325645
51279.633,5.051132406
45865.211,5.140257723
59422.137,5.193046325
41764.352,5.586258126
59256.715,4.592056006
43249.348,4.439477738
24410.883,3.188910285
52601.781,5.365088854
42962.371,4.818218735
55708.387,4.801649287
56135.75,4.564262116
46317.918,2.840697484
25384.539,3.163474116
27856.57,3.295035108
77149.789,5.802731769
39499.102,4.122184937
46041.461,5.176108761
42499.5,3.126068865
39954.094,4.77475552
27819.949,3.995454217
41262.125,3.870127302
57499.25,4.936883382
169827.19,8.366703947
68213.742,6.433981662
42499.5,5.668249384
37158.66,4.600648852
40833.168,4.815477093
52221.996,5.508176862
41764.352,4.734029529
43436.813,4.954878195
18499.301,3.441959419
31922.691,4.345506534
27158.66,4.201940265
37272.273,4.959649414
31583.016,4.808856405
47631.055,3.895097768
29165.832,4.188429291
36944.055,4.13830194
33653.113,4.880155099
41538.152,4.928490085
20899.82,3.559749517
32114.963,4.103351378
73538.289,5.533715322
59506.09,4.972698059
15937.31,2.929395815
33460.848,4.993441903
28275.207,3.848881365
46538.152,4.594803945
38294.793,4.059123468
57296.566,4.445007955
24165.832,3.219931551
36562.188,4.490443469
32030.842,4.796947504
42320.965,4.284844128
64537.195,4.703836986
47624.473,4.612322612
122806.1,7.602482148
41648.605,4.724495411
50277.75,4.183597602
22282.152,3.155394591
47655.719,6.074186557
43124.375,4.676760794
57142.145,1.870248385
38999.199,1.574709091
41249.75,0.486161232
31499.699,2.145118671
64499.699,4.940958254
34106.32,2.78029569
36249.754,3.845405264
61499.902,5.895168695
55332.801,5.626542903
76874.922,5.368390006
81666.398,4.119624561
79411.586,5.372449194
80728.383,5.389754132
87683.32,5.491497582
70337.148,5.651227565
70231.461,5.963247622
62026.891,5.447667014
46999.602,4.609430791
75221.883,5.673926166
41999.602,4.579671913
101041.63,4.284634349
80372.273,5.53048385
72499.164,3.141320289
51578.789,2.625407505
44624.074,2.15917874
96249.156,6.342236174
54599.539,2.553413923
33124.371,2.134975394
85832.898,6.13730945
31666.334,4.390322681
128529.27,6.791920425
50999.898,5.082260826
60599.957,5.831434878
37666.133,5.768912572
31999.6,3.002184714
54071.023,5.519234367
46553.742,4.753009377
30244.205,4.260329516
55260.344,5.730826977
52337.43,4.771927812
22707.791,4.60434032
60742.523,4.417311704
64845.832,4.497671306
25306.957,3.824490549
38436.813,4.308135368
60225.547,4.393007238
61153.77,5.281358098
30517.139,4.642642059
45636.238,4.455845005
35842.371,4.129622038
43966.598,4.870938445
116138.59,7.27032206
32737.549,2.336357435
83198.594,6.422754889
29037.654,2.969273258
32499.502,4.474740298
34999,5.265190665
49582.418,4.449716036
39733.094,4.825942515
45999.801,5.041767086
24403.881,3.894070581
29020.934,3.786448651
49249.152,4.128853606
63009.457,5.395576814
24599.08,3.507083097
59962.77,5.00464363
61656.328,4.498716079
37891.578,5.111895671
90884.773,6.005425509
41969.305,4.292487374
48999.199,3.869746493
46388.613,5.627737104
29165.834,3.060870533
30689.518,3.701318031
32884.039,3.448329112
27199.561,2.446212221
84586.188,6.307217044
37454.055,3.800101909
49749.051,4.036563203
82981.102,6.397842018
40769.078,4.57126849
50126.57,5.509410528
18957.543,2.329299202
27758.07,3.548397742
68332.781,4.962324938
58856.254,4.955354571
23983.58,3.395996336
82954.227,6.60423364
46439.105,5.990220696
54599.543,4.59587173
75744.016,5.102405369
76177.086,5.857481428
42142.43,3.906913477
54354.402,4.309392043
67325.094,6.113926918
41249.75,4.735894408
65581.82,5.645758665
63584.32,4.858935953
33749.25,4.139413391
37499.5,3.762692984
56159.605,5.369343292
41999.602,4.153354977
57499.25,4.84270413
40249.949,3.997995868
59582.371,5.556892455
26704.203,3.766965051
47249.547,2.683160337
58619.828,4.509539935
27744.549,5.119354489
27036.631,4.335984993
44374.121,3.713650831
56999.301,4.913100444
55499.449,5.723787165
77775.445,5.993721861
28313.291,4.097179578
42999.398,5.048856497
51962.766,4.670162659
70219.523,5.72774566
22296.838,4.133169859
41249.75,3.589840112
64916.34,5.096296757
61046.441,5.315123771
59217.832,6.065535763
38076.309,2.7082323
83897.945,6.26604854
43749.25,4.507934145
32221.777,3.053361617
67874.477,4.853433476
34374.125,1.247037605
42631.051,3.687645369
36120.465,3.662679766
67249.516,4.884474111
68749.414,4.262480415
28332.666,2.875481307
58588.887,5.245735363
74249.047,5.584044334
40916.484,5.404131856
41183.977,4.852631845
91675.094,6.62260154
43176.449,4.959510457
85002.523,6.173733646
60281.23,5.586212022
65124.656,5.123537572
36141.078,4.117415641
66999.531,5.617160514
75972.18,5.449254481
42999.402,3.833173906
32299.541,3.871017004
71165.922,3.492878232
110440.76,6.932446646
40934.395,4.747307154
44999,6.013462453
41624.676,4.292271827
41730.422,3.807600728
38436.813,4.664920297
